# Simulation 2 (Up to date)
# 702 data points written for 4 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Altitude (ft),Vertical velocity (m/s),Drag coefficient (​),Reference area (cm²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.008,0.464,0.577,34.253
0.039,1.477,0.56,34.253
# Event LIFTOFF occurred at t=0.03 seconds
0.104,2.467,0.541,34.253
0.201,3.445,0.524,34.253
0.33,4.421,0.51,34.253
0.491,5.393,0.499,34.253
0.684,6.363,0.49,34.253
0.909,7.33,0.483,34.253
1.165,8.294,0.476,34.253
1.453,9.255,0.471,34.253
1.772,10.213,0.466,34.253
2.115,11.148,0.461,34.253
2.456,12.002,0.459,34.253
2.795,12.794,0.459,34.253
3.132,13.534,0.459,34.253
# Event LAUNCHROD occurred at t=0.152 seconds
3.469,14.232,0.459,34.253
4.005,15.276,0.459,34.253
4.881,16.835,0.459,34.253
6.353,19.156,0.459,34.253
7.943,21.355,0.46,34.253
9.597,23.394,0.46,34.253
11.367,25.369,0.46,34.253
13.344,27.377,0.46,34.253
15.694,29.552,0.46,34.253
18.906,32.234,0.46,34.253
24.237,36.137,0.461,34.253
30.488,40.073,0.461,34.253
32.98,41.491,0.461,34.253
35.077,42.633,0.461,34.253
36.993,43.637,0.461,34.253
38.814,44.559,0.462,34.253
40.578,45.424,0.462,34.253
42.336,46.261,0.462,34.253
44.124,47.087,0.462,34.253
45.989,47.925,0.462,34.253
47.976,48.792,0.462,34.253
50.168,49.719,0.462,34.253
52.737,50.77,0.462,34.253
56.153,52.111,0.462,34.253
61.441,54.076,0.463,34.253
69.732,56.91,0.463,34.253
72.125,57.674,0.463,34.253
74.269,58.342,0.463,34.253
76.297,58.959,0.463,34.253
78.301,59.555,0.464,34.253
80.333,60.145,0.464,34.253
82.48,60.751,0.464,34.253
84.847,61.402,0.464,34.253
87.668,62.152,0.464,34.253
91.577,63.149,0.464,34.253
97.555,64.583,0.464,34.253
106.648,66.57,0.465,34.253
109.245,67.094,0.465,34.253
111.587,67.555,0.465,34.253
113.843,67.986,0.465,34.253
116.254,68.435,0.465,34.253
119.013,68.934,0.465,34.253
122.546,69.55,0.465,34.253
127.902,70.438,0.465,34.253
136.059,71.681,0.466,34.253
140.097,72.224,0.466,34.253
143.474,72.636,0.466,34.253
146.723,72.992,0.466,34.253
150.193,73.328,0.466,34.253
154.565,73.69,0.466,34.253
161.158,74.12,0.466,34.253
171.104,74.508,0.466,34.253
176.156,74.578,0.466,34.253
180.79,74.579,0.466,34.253
185.983,74.51,0.466,34.253
193.757,74.294,0.466,34.253
205.36,73.757,0.466,34.253
212.505,73.359,0.466,34.253
219.674,72.927,0.466,34.253
230.346,72.232,0.466,34.253
242.125,71.387,0.466,34.253
# Event BURNOUT occurred at t=1.47 seconds
247.486,70.975,0.465,34.253
253.947,70.469,0.465,34.253
263.289,69.738,0.465,34.253
274.657,68.851,0.465,34.253
283.897,68.129,0.465,34.253
295.001,67.259,0.465,34.253
305.964,66.398,0.465,34.253
316.786,65.546,0.465,34.253
327.469,64.703,0.464,34.253
338.014,63.869,0.464,34.253
348.424,63.046,0.464,34.253
358.699,62.233,0.464,34.253
367.488,61.536,0.464,34.253
377.517,60.737,0.464,34.253
387.415,59.945,0.464,34.253
396.16,59.242,0.464,34.253
404.749,58.55,0.463,34.253
414.291,57.782,0.463,34.253
423.707,57.022,0.463,34.253
431.557,56.386,0.463,34.253
440.745,55.638,0.463,34.253
449.811,54.895,0.463,34.253
458.756,54.159,0.463,34.253
467.58,53.43,0.463,34.253
476.286,52.708,0.463,34.253
484.873,51.993,0.462,34.253
493.344,51.284,0.462,34.253
501.699,50.581,0.462,34.253
509.939,49.885,0.462,34.253
518.066,49.194,0.462,34.253
526.08,48.508,0.462,34.253
533.981,47.828,0.462,34.253
541.771,47.153,0.462,34.253
549.451,46.483,0.462,34.253
557.022,45.817,0.462,34.253
564.484,45.157,0.462,34.253
571.838,44.503,0.462,34.253
579.085,43.855,0.461,34.253
586.226,43.211,0.461,34.253
593.262,42.57,0.461,34.253
600.193,41.934,0.461,34.253
607.02,41.302,0.461,34.253
613.743,40.673,0.461,34.253
620.364,40.048,0.461,34.253
626.883,39.427,0.461,34.253
633.3,38.811,0.461,34.253
639.616,38.2,0.461,34.253
